Date,Description,Category,Amount,Account,Account #,Header
14/02/2018,Methow Conservancy,Charity,-$250.00,Family Checking,xxxx3244,Data
14/02/2018,"Zeitgeist Coffee, Seattle, WA",Coffee,-$10.10,Alaska Airlines Visa,xxxx1561,Data
13/02/2018,"Shell Oil, Auto Fuel Dispenser",Auto and Gas,-$38.69,American Express,xxxx1005,Data
12/02/2018,"Winthrop Mountain Sports Winthrop, WA",Gear and Clothing,-$39.32,Alaska Airlines Visa,xxxx3499,Data
11/02/2018,"Toyota of Seattle, Seattle, WA",Auto and Gas,-$251.38,Alaska Airlines Visa,xxxx3499,Data
10/02/2018,Amazon.com,Gear and Clothing,-$25.81,Visa Rewards,xxxx3827,Data
09/02/2018,Chase Bank Mortgage,Mortgage,"-$1,903.00",Family Checking,xxxx3244,Data
09/02/2018,Paycheck,Paycheck,"$5,544.00",Family Checking,xxxx3244,Data
09/02/2018,Audible,Subscriptions,-$9.12,Visa Rewards,xxxx3827,Data
08/02/2018,"Storyville Coffee, Seattle, WA",Eating Out,-$8.93,Alaska Airlines Visa,xxxx2387,Data
08/02/2018,Hank's Harvest Foodstwisp WA,Groceries,-$46.46,American Express,xxxx1005,Data
07/02/2018,"Ikea Seattle, Renton, WA",Home Improvements,-$246.54,Alaska Airlines Visa,xxxx3499,Data
06/02/2018,Itunes.com,Subscriptions,-$1.59,Visa Rewards,xxxx5345,Data
05/02/2018,"Mazama Store, Mazama",Eating Out,-$15.53,American Express,xxxx1005,Data
05/02/2018,New York Times Digital,Subscriptions,-$18.08,Visa Rewards,xxxx5345,Data
04/02/2018,Roadpost Usa,Subscriptions,-$35.85,Alaska Airlines Visa,xxxx3499,Data
03/02/2018,Chevron Service Stn,Auto and Gas,-$27.69,American Express,xxxx1005,Data
02/02/2018,Texaco Service Stn,Auto and Gas,-$25.28,American Express,xxxx1005,Data
01/02/2018,"Costco Gas, Burlington",Auto and Gas,-$19.16,American Express,xxxx1005,Data
01/02/2018,Dropbox,Subscriptions,-$6.19,Alaska Airlines Visa,xxxx2387,Data
31/01/2018,"Zoka Coffee Roa, Seattle, WA",Eating Out,-$2.10,Alaska Airlines Visa,xxxx1561,Data
31/01/2018,"Okanogan County Energy, Winthrop, WA",Utilities,-$164.35,Alaska Airlines Visa,xxxx3499,Data
30/01/2018,Alaska Air,Travel,-$156.10,Alaska Airlines Visa,xxxx1561,Data
29/01/2018,Seattle YMCA,Charity,-$400.00,Visa Rewards,xxxx5345,Data
28/01/2018,"Trader Joe's #130, Seattle",Groceries,-$69.10,American Express,xxxx1005,Data
27/01/2018,Roadpost Usa,Subscriptions,-$56.98,Alaska Airlines Visa,xxxx3499,Data
26/01/2018,Chevron Service Stn,Auto and Gas,-$37.62,American Express,xxxx1005,Data
26/01/2018,Tiller (tillerhq.com),Subscriptions,-$10.00,Alaska Airlines Visa,xxxx2387,Data
25/01/2018,"Shell Oil, Auto Fuel Dispenser",Auto and Gas,-$47.83,American Express,xxxx1005,Data
24/01/2018,"Winthrop Mountain Sports Winthrop, WA",Stuff,-$55.82,Alaska Airlines Visa,xxxx3499,Data
23/01/2018,Alaska Wilderness League,Charity,-$400.00,Family Checking,xxxx3244,Data
22/01/2018,Big Star Montessori,Classes,-$740.00,Family Checking,xxxx3244,Data
22/01/2018,Itunes.com,Subscriptions,-$2.99,Visa Rewards,xxxx5345,Data
21/01/2018,"Mazama Store, Mazama",Eating Out,-$18.18,American Express,xxxx1005,Data
19/01/2018,"Toyota of Seattle, Seattle, WA",Auto and Gas,-$435.11,Alaska Airlines Visa,xxxx3499,Data
18/01/2018,Amazon.com,Gear and Clothing,-$30.00,Visa Rewards,xxxx3827,Data
16/01/2018,PCC Natural Market - Issaquah WA,Groceries,-$23.00,American Express,xxxx1005,Data
15/01/2018,Etsy,Freelance,$923.00,Family Checking,xxxx3244,Data
14/01/2018,"Espresso Vivace Seattle, Seattle, WA",Eating Out,-$7.25,Alaska Airlines Visa,xxxx2387,Data
14/01/2018,"The Essential Baking Co, Seattle, WA",Eating Out,-$16.35,Alaska Airlines Visa,xxxx3499,Data
13/01/2018,AT&T,Phone,-$125.43,Visa Rewards,xxxx5345,Data
12/01/2018,"Zeitgeist Coffee, Seattle, WA",Eating Out,-$12.51,Alaska Airlines Visa,xxxx1561,Data
11/01/2018,Centurylink,Phone,-$43.73,Visa Rewards,xxxx5345,Data
10/01/2018,"Portage Bay Cafe and Cate, Seattle, WA",Eating Out,-$72.28,Alaska Airlines Visa,xxxx2387,Data
10/01/2018,Whole Foods - Seattle WA,Groceries,-$108.91,American Express,xxxx1005,Data
10/01/2018,Chase Bank Mortgage,Mortgage,"-$1,903.00",Family Checking,xxxx3244,Data
10/01/2018,Paycheck,Paycheck,"$5,544.00",Family Checking,xxxx3244,Data
10/01/2018,Audible,Subscriptions,-$16.18,Visa Rewards,xxxx3827,Data
09/01/2018,"REI, Store 11, Seattle",Gear and Clothing,-$513.97,Visa Rewards,xxxx5345,Data
09/01/2018,Union Garage,Parking,-$50.00,Visa Rewards,xxxx5345,Data
08/01/2018,Evergreen Iga Market,Groceries,-$36.76,American Express,xxxx1005,Data
07/01/2018,Glover Street Market,Eating Out,-$35.34,Visa Rewards,xxxx5345,Data
06/01/2018,"Costco Gas, Burlington",Auto and Gas,-$19.67,American Express,xxxx1005,Data
06/01/2018,Texaco Service Stn,Auto and Gas,-$48.74,American Express,xxxx1005,Data
06/01/2018,New York Times Digital,Subscriptions,-$20.00,Visa Rewards,xxxx5345,Data
05/01/2018,Dropbox,Subscriptions,-$10.81,Alaska Airlines Visa,xxxx2387,Data
04/01/2018,Hank's Harvest Foodstwisp WA,Groceries,-$52.69,American Express,xxxx1005,Data
03/01/2018,"Storyville Coffee, Seattle, WA",Eating Out,-$12.91,Alaska Airlines Visa,xxxx2387,Data
02/01/2018,Home Depot,Home Improvements,-$251.33,Alaska Airlines Visa,xxxx3499,Data
01/01/2018,"Zoka Coffee Roa, Seattle, WA",Eating Out,-$3.56,Alaska Airlines Visa,xxxx1561,Data
01/01/2018,"Okanogan County Energy, Winthrop, WA",Utilities,-$322.84,Alaska Airlines Visa,xxxx3499,Data
31/12/2017,Alaska Air,Travel,-$115.75,Alaska Airlines Visa,xxxx1561,Data
30/12/2017,Evergreen Iga Market,Groceries,-$28.60,American Express,xxxx1005,Data
29/12/2017,Glover Street Market,Eating Out,-$27.97,Visa Rewards,xxxx5345,Data
28/12/2017,Big Star Montessori,Classes,-$621.17,Family Checking,xxxx3244,Data
27/12/2017,United Way,Charity,-$300.00,Visa Rewards,xxxx5345,Data
26/12/2017,Tiller (tillerhq.com),Subscriptions,-$6.87,Alaska Airlines Visa,xxxx2387,Data
25/12/2017,PCC Natural Market - Issaquah WA,Groceries,-$14.63,American Express,xxxx1005,Data
24/12/2017,Etsy,Freelance,$653.59,Family Checking,xxxx3244,Data
23/12/2017,"Espresso Vivace Seattle, Seattle, WA",Eating Out,-$6.18,Alaska Airlines Visa,xxxx2387,Data
23/12/2017,"The Essential Baking Co, Seattle, WA",Eating Out,-$15.96,Alaska Airlines Visa,xxxx3499,Data
22/12/2017,"Shell Oil, Auto Fuel Dispenser",Auto and Gas,-$25.17,American Express,xxxx1005,Data
22/12/2017,"Winthrop Mountain Sports Winthrop, WA",Stuff,-$50.35,Alaska Airlines Visa,xxxx3499,Data
21/12/2017,"REI, Store 11, Seattle",Gear and Clothing,-$488.96,Visa Rewards,xxxx5345,Data
20/12/2017,"Toyota of Seattle, Seattle, WA",Auto and Gas,-$260.37,Alaska Airlines Visa,xxxx3499,Data
19/12/2017,Amazon.com,Gear and Clothing,-$16.49,Visa Rewards,xxxx3827,Data
17/12/2017,Hank's Harvest Foodstwisp WA,Groceries,-$27.18,American Express,xxxx1005,Data
16/12/2017,Khan Academy,Charity,-$300.00,Family Checking,xxxx3244,Data
15/12/2017,Roadpost Usa,Subscriptions,-$34.22,Alaska Airlines Visa,xxxx3499,Data
